Startup,Industry,TotalFunding,Status,Country,City,FundingRounds,FoundedAt,FirstFundingAt,LastFundingAt,StatusCode
Skilledjob,Recruiting,12000,operating,IND,Mumbai,1,01-05-2015,26-07-2015,26-07-2015,0
Hugefly Techonologies,E-Commerce,-,operating,IND,Pune,1,09-03-2015,29-09-2015,29-09-2015,0
Hulmidi,Analytics|Big Data|Visualization,100000,operating,IND,Bangalore,1,04-01-2015,09-01-2015,09-01-2015,0
Hungama Digital Media Entertainment Pvt. Ltd.,Games|Music Services,140000000,operating,IND,Mumbai,2,01-04-1999,04-07-2014,19-03-2015,0
HungryBuddies.com,Delivery|Restaurants|Services,100000,closed,IND,Noida,1,01-10-2013,01-10-2013,01-10-2013,1
Hunner Retail India Private Limited,,-,closed,IND,Delhi,1,01-01-2011,01-01-2011,01-01-2011,1
Hurix Systems Private,Software,5100000,operating,IND,Mumbai,1,01-01-2001,03-10-2007,03-10-2007,0
i7 Networks,Enterprise Software|Security,15300000,operating,IND,Bangalore,5,19-06-2012,20-08-2012,15-03-2015,0
iamWire,News|Technology,-,operating,IND,Gurgaon,1,01-01-2011,31-08-2015,31-08-2015,0
iBloom Technologies,Curated Web,-,closed,IND,Ahmedabad,1,01-05-2009,01-05-2009,01-05-2009,1
IBS Software Services (P),Software,60000000,acquired,IND,Trivandrum,1,01-01-1997,26-07-2007,26-07-2007,2
Icecream Labs,Computer Vision|Machine Learning|Mobile|Visual Search,-,operating,IND,Bangalore,2,20-09-2013,01-10-2013,20-05-2014,0
iChefin,Food Processing,-,operating,IND,Mumbai,1,,21-10-2015,21-10-2015,0
iCreate Software,Software,12430000,operating,IND,Bangalore,2,01-01-2006,29-01-2010,12-12-2012,0
ICrushiFlush,Apps,-,operating,IND,Mumbai,1,01-01-2014,22-07-2015,22-07-2015,0
Icustommadeit,Internet,650000,operating,IND,Pune,3,01-05-2012,18-12-2014,26-08-2015,0
iD Fresh Food,Consumer Goods|Online Shopping|Retail|Specialty Foods,5700000,operating,IND,Bengaluru,1,01-01-2006,31-10-2014,31-10-2014,0
iData Insights,Consulting|Databases|Market Research,2000000,operating,IND,New Delhi,1,01-01-2013,23-12-2014,23-12-2014,0
Idea Device,Data Center Automation|Data Centers|Enterprises,4000000,operating,IND,Bangalore,1,01-01-2009,09-10-2013,09-10-2013,0
ideacts innovations,Advertising,5000000,operating,IND,Mumbai,1,,03-07-2008,03-07-2008,0
ideaForge,Photography|Security,125000,operating,IND,Mumbai,2,08-02-2007,01-04-2008,12-01-2011,0
IDfy,Internet,-,operating,IND,Mumbai,1,01-01-2011,18-08-2015,18-08-2015,0
